ID,Status,Phase,Reason
0x022A,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x022B,SAFE,Gameplay,
0x022C,SAFE,Gameplay,
0x022D,SAFE,Gameplay,
0x022E,SAFE,Gameplay,
0x022F,CRASH,Fade In,Internal FC Frozen at 0x0528 for 60 frames
0x0230,CRASH,Fade In,Internal FC Frozen at 0x0528 for 60 frames
0x0231,SAFE,Gameplay,
0x0232,SAFE,Gameplay,
0x0233,SAFE,Gameplay,
0x0234,SAFE,Gameplay,
0x0235,SAFE,Gameplay,
0x0236,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x0237,CRASH,Fade In,Internal FC Frozen at 0x0528 for 60 frames
0x0238,SAFE,Gameplay,
0x0239,SAFE,Gameplay,
0x023A,SAFE,Gameplay,
0x023B,SAFE,Gameplay,
0x023C,SAFE,Gameplay,
0x023D,SAFE,Gameplay,
0x023E,SAFE,Gameplay,
0x023F,SAFE,Gameplay,
0x0240,SAFE,Gameplay,
0x0241,SAFE,Gameplay,
0x0242,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x0243,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x0244,CRASH,Fade In,Internal FC Frozen at 0x0528 for 60 frames
0x0245,CRASH,Fade In,Internal FC Frozen at 0x0528 for 60 frames
0x0246,CRASH,Fade In,Internal FC Frozen at 0x0528 for 60 frames
0x0247,SAFE,Gameplay,
0x0248,SAFE,Gameplay,
0x0249,SAFE,Gameplay,
0x024A,SAFE,Gameplay,
0x024B,SAFE,Gameplay,
0x024C,SAFE,Gameplay,
0x024D,SAFE,Gameplay,
0x024E,SAFE,Gameplay,
0x024F,SAFE,Gameplay,
0x0250,SAFE,Gameplay,
0x0251,SAFE,Gameplay,
0x0252,SAFE,Gameplay,
0x0253,SAFE,Gameplay,
0x0254,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x0255,CRASH,Other (0x03),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x0256,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x0257,SAFE,Gameplay,
0x0258,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x0259,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x025A,SAFE,Gameplay,
0x025B,SAFE,Gameplay,
0x025C,SAFE,Gameplay,
0x025D,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x025E,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x025F,SAFE,Gameplay,
0x0260,SAFE,Gameplay,
0x0261,CRASH,Other (0xF4),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x0262,SAFE,Gameplay,
0x0263,SAFE,Gameplay,
0x0264,CRASH,Fade In,Internal FC Frozen at 0x0528 for 60 frames
0x0265,SAFE,Gameplay,
0x0266,SAFE,Gameplay,
